20091111010506	user114613	reached level 7 in #MobsterWorld http://bit.ly/2uK1E2	<a href="http://playmobsterworld.com" rel="nofollow">Mobster World</a>
20100110031454	user863541	tired as fxck... but no sleep for me.	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
20100111235712	user51679	preciso repetir pela trigésima vez em dois meses que vou chorar vendo 'onde vivem os monstros' :˜)	<a href="http://echofon.com/" rel="nofollow">Echofon</a>
20100112192955	user291636	Congrats! @user210974 Congrats! You won our new Jelly Bean Sling in Wild Blueberry from #MunchkinMonday!	web
20100112234920	user309566	tirei uma fitinha do meu braço, agora tem 5 ainda :)	web
20100113012356	user8670239	#9: Sterling Silver Fancy Branch and Leaf Cross Charm http://url4.eu/176LM	<a href="http://rss2twitter.com/" rel="nofollow">RSS2Twitter</a>
20100113013841	user8712659	ATIVIDADE PARANORMAL EH MTOOOO DU CARALHO!!!!!!!!!!!!!!	web
20100115025220	user300493	@user254360 :D	<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>
20100115115402	user4389073	eaaaa, Radit ada twitter ga?mention,wkwk RT @user142241: @user4389073 Iya deh, jijik abis gue liat badannya. Euw, mending Radit kemana-mana deh.	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
20100115223516	user9230194	RT @user93126: You have now texted "Haiti" to 90999 1 million times. You have donated $10 million. $10 at (cont) http://tl.gd/3r8q2	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
20100116004757	user4237237	@user229319 : mention lo gak masuk nyeet ke mention gueeee..	<a href="http://m.tweete.net/" rel="nofollow">Mobile Tweete</a>
20100117070731	user268074	I be gettin the most #Random reply tweets from ppl. . .	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20100118134403	user9258495	@user9488843 I asked cause you said you loved sleeping in with no distractions, so I figured you killed Millie.	<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>
20100119175527	user7499376	there some people I wanna unfollow but I know they will take it the wrong way.	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20100119200814	user7220764	Make money on line for Free. Nothing to buy or sell just get paid for clicking on ads http://bit.ly/cLIcK	web
20100119201346	user604009	nap time. :)	web
20100121102446	user749940	hihi .. vidy lbh geniiit :P akyuuu jg baiiik baiiik ajaa jeeeeng :D @user8542171	web
20100121231216	user856819	Sou foda, arrumei o som do meu computador, hahahahaha	web
20100122054554	user2441488	RT @user352284: RT @user2441488: @user352284 you'renot playin' fair&lt;Do I ever sweets! lol!!!&gt; that's cool) I owe u one	<a href="http://echofon.com/" rel="nofollow">Echofon</a>
20100122150943	user5677400	No man is truly married until he understands every word his wife is NOT saying.	web
20100123005218	user7005439	Ight I'm finally home ima try & get on da cpu if my dad don't bitch lol	<a href="/devices" rel="nofollow">txt</a>
20100125024056	user966412	Developing asthma as I tweet..	<a href="http://twidroid.com" rel="nofollow">twidroid</a>
20100126152906	user8763546	Vaga: DESENVOLVEDOR C++ SÊNIOR. Maiores Informações: http://www.orkut.com.br/Main#Album?uid=2320935335179988953&aid=1261563274	web
20100126155257	user861750	@user226157 bem que o @user840043 podia fazer um fomfom nas peitolas da guria chata pra caralho do @user96590 FTW.	<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>
20100127002631	user228913	squeaky clean	web
20100127144141	user10456091	エロビデオ観てる	web
20100127163959	user15044	some people thinks I am a religious nut,I don't believe in religion,and I sure don't do religion,religion get people killed	web
20100129142319	user150579	@user716527 Me too.....Twitter keeps freezing up....after a while it will be like Myspace....just not exciting anymore......	web
20100131044010	user2811	2010-01-31 05:40:01 Temperature: 15.88° Temperature: 23.06° Humidity: 12%	<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>
20100131201855	user10882718	Of all things lost, most never return. Others find a new destiny, but a few return older and wiser.	<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>
20100131220959	user10891113	RT @user189773: CSNPhilly &gt;&gt; NFL Notebook: Colts President Does it Best http://bit.ly/cqGXuf	<a href="http://twidroid.com" rel="nofollow">twidroid</a>
20100201012344	user1700234	The new upas looks cool but the price is something. I can buy a computer instead. •scoffing•	<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>
20091110083235	user1404	@user1405 :O have a greeeeat one Esh :)	web
20091110083235	user1406	@user1407 lol good one	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20091110083236	user1408	@user1409 lol I hope u aint been frustrated that long	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
20091110083236	user1411	RT @user1411: Ack! Another fuckin scary movie! http://twitpic.com/oz7cw	<a href="http://www.deliciousmorsel.com/app/twee" rel="nofollow">Twee</a>
20091110083236	user1414	$10 was a hell no, but at $5 it's a maybe when I have more disposable income. Only maybe.	<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>
20091110083236	user1415	Bra jobbat med typo. Wire Design. http://bit.ly/J8J5I Via @user1416	<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>
20091110083237	user1417	When a disease causing agent evolves, is this evidence of Intelligent Design or Evolution? http://bit.ly/3jhcKC	<a href="http://andrewjaswa.com/bird-feeder/" rel="nofollow">Bird Feeder</a>
